"PlotID","DGP","Year","BA_total","N_total"
49628370910,7,15,7.17110270269965,50.54965558718
49628370910,8,0,0.85321078910379,4.814810932661
49628370910,8,1,1.5400964109817,8.69102117746968
49628370910,8,2,2.15147084636116,12.1411091897257
49628370910,8,3,2.66577468055671,15.0434115928578
49628370910,8,4,3.11587408408596,17.5833976743433
49628370910,8,5,3.52573058418738,19.89628633294
49628370910,8,6,3.90596767099552,22.0420276971462
49628370910,8,7,4.26322234429569,24.0580754648457
49628370910,8,8,4.59624930709049,25.937402217171
49628370910,8,9,4.89992242383131,27.6510803153755
49628370910,8,10,5.18229992293896,29.2445836878177
49628370910,8,11,5.38996177945261,30.4164542147819
49628370910,8,12,5.57638976657278,31.4684984716097
49628370910,8,13,5.68011900692783,32.0538598932846
49628370910,8,14,5.7636275781762,32.5251127032026
49628370910,8,15,5.8284565580436,32.8909534602642
49628370910,9,0,0,0
49628370910,9,1,0.0867750704712782,0.400854244793513
49628370910,9,2,0.242773368751655,1.12148264309543
49628370910,9,3,0.443177025653916,2.04723996147184
49628370910,9,4,0.673103004833478,3.10937456121197
49628370910,9,5,0.92297980001435,4.26367122129713
49628370910,9,6,1.18673117717166,5.48206100224967
49628370910,9,7,1.46158053595964,6.75171750094885
49628370910,9,8,1.73864106904409,8.03158843794123
49628370910,9,9,2.01534881957709,9.30982970891928
49628370910,9,10,2.28850305924459,10.5716556672203
49628370910,9,11,2.53202076050891,11.6965767269672
49628370910,9,12,2.76849406010264,12.7889564324248
49628370910,9,13,2.96021586328969,13.6746082470486
49628370910,9,14,3.14638537131249,14.5346114384809
49628370910,9,15,3.32029086719437,15.3379614771333
49628370910,10,0,0,0
49628370910,10,1,0,0
49628370910,10,2,0.00986322897150474,0.0379833744129977
49628370910,10,3,0.0359550475571809,0.138463178473002
49628370910,10,4,0.0808895337670486,0.311506247704791
49628370910,10,5,0.145493772362062,0.560297692201355
49628370910,10,6,0.228732893205033,0.880852218708
49628370910,10,7,0.330462676868489,1.27261443704498
49628370910,10,8,0.449242047935394,1.73003475414489
49628370910,10,9,0.582232893033292,2.24218357249314
49628370910,10,10,0.728058335087261,2.8037585273562
49628370910,10,11,0.876363658819285,3.37488352658604
49628370910,10,12,1.03298643622055,3.97803910705801
49628370910,10,13,1.18054504068821,4.54628848437116
49628370910,10,14,1.32781410812641,5.11342285224588
49628370910,10,15,1.475473350518,5.68205978701671
49628370910,11,0,0,0
49628370910,11,1,0,0
49628370910,11,2,0,0
49628370910,11,3,0.00119245423958586,0.00388679652640719
49628370910,11,4,0.00537187395789351,0.0175095868224589
49628370910,11,5,0.0143865187406555,0.0468927605034908
49628370910,11,6,0.0299162731985747,0.0975118900928666
49628370910,11,7,0.0534850069173865,0.174334018195585
49628370910,11,8,0.0861261608854876,0.280727638721602
49628370910,11,9,0.128479890598199,0.418779334176957
49628370910,11,10,0.180828563384259,0.589409478959329
49628370910,11,11,0.24134646091617,0.78666715653209
49628370910,11,12,0.311473042864151,1.01524427595169
49628370910,11,13,0.38548186878616,1.25647554333939
49628370910,11,14,0.465381838230999,1.51690895318336
49628370910,11,15,0.551006022105522,1.79600040123384
49628370910,12,0,0,0
49628370910,12,1,0,0
49628370910,12,2,0,0
49628370910,12,3,0,0
49628370910,12,4,0.000143835694661665,0.00040194742252441
49628370910,12,5,0.000770858275977911,0.00215415580874941
49628370910,12,6,0.00239526154213054,0.00669353462918832
49628370910,12,7,0.00568011125408997,0.0158730145782224
49628370910,12,8,0.0113310211538653,0.0316644262613595
49628370910,12,9,0.0200971775107443,0.0561613632795432
49628370910,12,10,0.0327818467917454,0.0916085458100406
49628370910,12,11,0.0496117377691583,0.138639509269077
49628370910,12,12,0.071424852822218,0.199596042996185
49628370910,12,13,0.0972298769133115,0.271707926948172
49628370910,12,14,0.127655931732567,0.356733235450021
49628370910,12,15,0.162883950725743,0.455177585221859
49628370910,13,0,0,0
49628370910,13,1,0,0
49628370910,13,2,0,0
49628370910,13,3,0,0
49628370910,13,4,0,0
49628370910,13,5,0.0000181964193523709,0.00004407781344499
49628370910,13,6,0.000112846161459601,0.000273351144336615
49628370910,13,7,0.000400228070929025,0.000969486243652611
49628370910,13,8,0.00106047737054345,0.00256883086701106
49628370910,13,9,0.00233504064146265,0.00565624938553914
49628370910,13,10,0.00453324287683836,0.010981030386073
49628370910,13,11,0.00796769154608305,0.0193004137107729
49628370910,13,12,0.0130163628157128,0.031529984048677
49628370910,13,13,0.0198068472603594,0.0479788084440788
49628370910,13,14,0.028681282644953,0.0694756589912589
49628370910,13,15,0.0398161986724083,0.0964481496708527
49628370910,14,0,0,0
49628370910,14,1,0,0
49628370910,14,2,0,0
49628370910,14,3,0,0
49628370910,14,4,0,0
49628370910,14,5,0,0
49628370910,14,6,0.00000233011265940648,0.00000493950731595312
49628370910,14,7,0.0000164849165726943,0.0000349456777057472
49628370910,14,8,0.0000652558627765321,0.000138333144662463
49628370910,14,9,0.000190748230349985,0.000404359109210992
49628370910,14,10,0.000460535417010373,0.000976269560355805
49628370910,14,11,0.000964807497153559,0.00204525462382163
49628370910,14,12,0.00182900797432308,0.00387723667936582
49628370910,14,13,0.00316281252854019,0.00670471256428085
49628370910,14,14,0.00511632633201898,0.0108458838871116
49628370910,14,15,0.00783606638026741,0.0166113458323017
49628370910,15,0,0,0
49628370910,15,1,0,0
49628370910,15,2,0,0
49628370910,15,3,0,0
49628370910,15,4,0,0
49628370910,15,5,0,0
49628370910,15,6,0,0
49628370910,15,7,0.000000331335998182199,0.000000583903246338926
49628370910,15,8,0.00000264197649026517,0.00000465587397047228
49628370910,15,9,0.0000116485286344065,0.0000205278440073444
49628370910,15,10,0.0000377035690888177,0.0000664438410263488
49628370910,15,11,0.0000995747200296169,0.000175477468785662
49628370910,15,12,0.000227768870117188,0.00040139007957488
49628370910,15,13,0.000463274055342983,0.000816413629498286
49628370910,15,14,0.000862538887361791,0.00152002577198741
49628370910,15,15,0.00149341959279122,0.00263180744972189
